position,flow_cell_id,product_code,passed,total_pore_count,timestamp
2G,PAY87030,FLO-PRO114M,True,8014,1722357122
2G,PAW72117,FLO-PRO114M,True,7799,1714488949
2G,PAW63143,FLO-PRO114M,True,6727,1721325325
2G,PAW71972,FLO-PRO114M,True,8115,1716920384
2G,CTC69190,FLO-PRO002,False,0,1724772700
2G,PAQ83386,FLO-PRO114M,False,4733,1721326841
2G,PAW95739,FLO-PRO114M,False,0,1719853400
2G,PAS46032,FLO-PRO114M,True,5681,1712240570
2G,PAW64236,FLO-PRO114M,True,7152,1715697313
2G,PAU57075,FLO-PRO114M,True,7248,1710172034
2G,PAW28517,FLO-PRO114M,True,7689,1710945317
2G,PAW40154,FLO-PRO114M,True,6745,1716311050
2G,PAU30991,FLO-PRO114M,True,7210,1712590364
2G,PAO99356,FLO-PRO114M,False,3641,1713972114
2G,PAU50705,FLO-PRO114M,True,7171,1709649395
2G,PAQ75117,FLO-PRO114M,True,7362,1698173299
2G,PAS65622,FLO-PRO114M,True,6231,1709226759
2G,PAS39511,FLO-PRO114M,True,5026,1721323701
2G,PAW64386,FLO-PRO114M,True,7398,1715692851
2G,PAY01013,FLO-PRO114M,True,7112,1719320616
2G,PAU27051,FLO-PRO114M,True,7128,1708698135
2G,PAW73129,FLO-PRO114M,True,6987,1719241625
2H,PAU40764,FLO-PRO114M,True,6248,1709226764
2H,PAW26626,FLO-PRO114M,True,7989,1710945316
2H,PAU31407,FLO-PRO114M,True,6741,1708698134
2H,PAU50648,FLO-PRO114M,True,6836,1709649392
2H,PAO12954,FLO-PRO114M,False,3815,1705595344
2H,PAY86261,FLO-PRO114M,True,6127,1722357121
2H,CTC69160,FLO-PRO002,False,0,1724772704
2H,PAU29836,FLO-PRO114M,True,7412,1702907166
2H,PAQ72400,FLO-PRO114M,True,6310,1721323703
2H,PAQ72831,FLO-PRO114M,True,7627,1698173310
2H,PAU31108,FLO-PRO114M,True,6265,1712590366
2H,PAW71568,FLO-PRO114M,True,8195,1716920379
2H,PAW95808,FLO-PRO114M,True,7863,1719853414
2H,PAW40123,FLO-PRO114M,True,6610,1716311045
2H,PAU50454,FLO-PRO114M,True,6443,1721326833
2H,PAW64325,FLO-PRO114M,True,7709,1715692851
2H,PAW63050,FLO-PRO114M,False,4319,1726580593
2H,PAW65036,FLO-PRO114M,True,7040,1719241626
2H,PAU57069,FLO-PRO114M,True,6985,1710172037
2H,PAS59298,FLO-PRO114M,True,6103,1721325324
2H,PAY00879,FLO-PRO114M,True,7192,1719320615
2H,PAW71841,FLO-PRO114M,True,7908,1714488956
2H,PAS62498,FLO-PRO114M,True,5388,1712240567
2H,PAW71082,FLO-PRO114M,True,7387,1715697313
3A,PAU49630,FLO-PRO114M,True,7002,1706023636
3A,PAW73138,FLO-PRO114M,True,7316,1716920388
3A,PAY03852,FLO-PRO114M,True,6721,1719842187
3A,CTC42388,FLO-PRO002,False,0,1724772703
3A,PAU40784,FLO-PRO114M,True,7261,1709052087
3A,PAU41141,FLO-PRO114M,True,6913,1710173494
3A,PAS66069,FLO-PRO114M,True,7328,1709050487
3A,PAW63997,FLO-PRO114M,True,7546,1715790193
3A,PAW30855,FLO-PRO114M,True,6368,1716311069
3A,PAS46799,FLO-PRO114M,True,5449,1705595348
3A,PAQ72573,FLO-PRO114M,True,5905,1721326840
3A,PAS46417,FLO-PRO114M,True,6116,1712590365
3A,PAW28790,FLO-PRO114M,True,8037,1710945315
3A,PAQ69371,FLO-PRO114M,True,7340,1701700602
3A,PAU48922,FLO-PRO114M,True,5887,1721315903
3A,PAQ74613,FLO-PRO114M,True,5915,1721325321
3A,PAU50603,FLO-PRO114M,True,7280,1709649394
3A,PAU32331,FLO-PRO114M,True,8296,1708443613
3A,PAU81009,FLO-PRO114M,True,7376,1710172034
3A,PBA01850,FLO-PRO114M,True,6696,1719853402
3A,PAW72118,FLO-PRO114M,True,8347,1714483719
3A,PAW99973,FLO-PRO114M,True,8025,1723641169
3A,PAS65280,FLO-PRO114M,True,6023,1721322312
3A,PAU29824,FLO-PRO114M,True,7889,1702907169
3A,PAY00941,FLO-PRO114M,True,8066,1719320610
3A,PAS43716,FLO-PRO114M,True,7289,1697640124
3A,PAW77382,FLO-PRO114M,True,7587,1726580601
3A,PAO13005,FLO-PRO114M,False,4876,1721323704
3A,PAW62660,FLO-PRO114M,True,6821,1716394683
3A,PAU80717,FLO-PRO114M,True,6689,1711989276
3A,PAS45795,FLO-PRO114M,False,4256,1717001540
3A,PAO18311,FLO-PRO114M,False,3734,1726682353
3A,PAW64379,FLO-PRO114M,True,7355,1715692853
3A,PAW50793,FLO-PRO114M,True,6197,1721319948
3A,PAW22305,FLO-PRO114M,True,7968,1711373548
3B,PAW64188,FLO-PRO114M,True,7313,1715790192
3B,PAU30515,FLO-PRO114M,True,7550,1708443610
3B,PAS39799,FLO-PRO114M,True,8195,1697640124
3B,PAW61130,FLO-PRO114M,True,7234,1716394687
3B,PAW90720,FLO-PRO114M,True,7284,1719320615
3B,PAU49742,FLO-PRO114M,True,7277,1706023635
3B,PAW71061,FLO-PRO114M,True,7226,1715692857
3B,PAQ70610,FLO-PRO114M,True,7786,1722281274
3B,PAU44815,FLO-PRO114M,True,6866,1711989280
3B,PAU27997,FLO-PRO114M,True,6667,1702907023
3B,PAU48322,FLO-PRO114M,True,5055,1721315912
3B,PBA01278,FLO-PRO114M,True,5898,1719853401
